key,translation,options,desc_en,desc_vi,chapter,status,notes
standard of living,mức sống,,A country's output of goods and services people can buy with the money they have,Sản lượng hàng hóa và dịch vụ mà người dân có thể mua với số tiền họ có,chapter-1,confirmed,
quality of life,chất lượng cuộc sống,,General level of human happiness based on life expectancy,education,health,etc.,Mức độ hạnh phúc chung dựa trên tuổi thọ
risk,rủi ro,,Potential to lose time and money or otherwise not accomplish an organization's goals,Khả năng mất thời gian và tiền bạc hoặc không đạt được mục tiêu của tổ chức,chapter-1,confirmed,
revenue,doanh thu,,Money a company receives by providing services or selling goods to customers,Tiền mà công ty nhận được từ cung cấp dịch vụ hoặc bán hàng hóa cho khách hàng,chapter-1,confirmed,
costs,chi phí,,Expenses for rent,salaries,supplies,transportation and other items a company incurs,Chi phí thuê mặt bằng
profit,lợi nhuận,,The money left over after all expenses are paid; revenue minus costs,Số tiền còn lại sau khi trả hết chi phí; doanh thu trừ chi phí,chapter-1,confirmed,
not-for-profit organization,tổ chức phi lợi nhuận,,Organization that exists to achieve some goal other than the usual business goal of profit,Tổ chức tồn tại để đạt mục tiêu khác ngoài mục tiêu lợi nhuận thông thường,chapter-1,confirmed,
factors of production,yếu tố sản xuất,các nhân tố sản xuất,Resources needed to produce goods and services: natural resources,labor,capital,entrepreneurship,knowledge
capital,vốn,tư bản,Tools,machinery,equipment,and buildings used to produce goods and services,Công cụ
entrepreneurs,doanh nhân,nhà khởi nghiệp,"People who combine inputs of natural resources, labor, and capital to produce goods/services","Người kết hợp các đầu vào tài nguyên thiên nhiên, lao động và vốn để sản xuất hàng hóa/dịch vụ",5,confirmed,
knowledge,tri thức,kiến thức,Combined talents and skills of the workforce; fifth factor of production,Tài năng và kỹ năng kết hợp của lực lượng lao động; yếu tố sản xuất thứ năm,chapter-1,confirmed,Dùng 'tri thức' khi nói về yếu tố sản xuất; 'kiến thức' trong ngữ cảnh thông thường
knowledge workers,lao động tri thức,,Workers whose primary contribution is knowledge and cognitive skills rather than physical labor,Người lao động có đóng góp chính là tri thức và kỹ năng tư duy thay vì lao động chân tay,chapter-1,confirmed,
amazon,Amazon,,,,5,confirmed,"Tên riêng, không dịch"
angel investors,nhà đầu tư thiên thần,nhà đầu tư mồi,Investors who provide backing for very early-stage businesses,Những nhà đầu tư hỗ trợ tài chính cho các doanh nghiệp ở giai đoạn cực kỳ sơ khai,5,confirmed,
bezos,Bezos,,,,5,confirmed,"Tên riêng, không dịch"
business plan,kế hoạch kinh doanh,,A formal document that details a company's goals and how it intends to achieve them,Tài liệu chính thức chi tiết hóa các mục tiêu của công ty và cách thức đạt được chúng,5,confirmed,
certified public accountant,kế toán viên công chứng,,An accountant who has met state licensing requirements,Kế toán viên đáp ứng các yêu cầu cấp phép của tiểu bang,5,confirmed,
cpa,CPA,kế toán viên công chứng,,,5,confirmed,Viết tắt của Certified Public Accountant
debt,nợ,vốn vay,Borrowed money that must be repaid,Khoản tiền đi vay phải hoàn trả,5,confirmed,
department of commerce,Bộ Thương mại Hoa Kỳ,Bộ Thương mại,,,5,confirmed,
department of labor,Bộ Lao động Hoa Kỳ,Bộ Lao động,,,5,confirmed,
eagle global logistics,Eagle Global Logistics,,,,5,confirmed,"Tên riêng, không dịch"
equity,vốn chủ sở hữu,vốn cổ phần,Ownership interest in a corporation,Lợi ích sở hữu trong một công ty cổ phần,5,confirmed,
gates,Gates,,,,5,confirmed,"Tên riêng, không dịch"
ibm,IBM,,,,5,confirmed,"Tên riêng, không dịch"
intel,Intel,,,,5,confirmed,"Tên riêng, không dịch"
intrapreneurs,nhà khởi nghiệp nội bộ,doanh nhân nội bộ,Employees who bring entrepreneurial ideas to an established business,Nhân viên mang các ý tưởng khởi nghiệp vào một doanh nghiệp đã đi vào hoạt động,5,confirmed,
kauffman foundation,Kauffman Foundation,,,,5,confirmed,"Tên riêng, không dịch"
naics,NAICS,,,,5,confirmed,"Tên riêng, không dịch"
national federation of independent businesses,Hiệp hội Quốc gia Doanh nghiệp Độc lập,NFIB,,,5,confirmed,Tên riêng tổ chức
north american industry classification system,Hệ thống Phân loại Ngành Bắc Mỹ,NAICS,,,5,confirmed,
office of international trade,Văn phòng Thương mại Quốc tế,,,,5,confirmed,
quality imaging products,Quality Imaging Products,,,,5,confirmed,"Tên riêng, không dịch"
salesforce.com,Salesforce.com,,,,5,confirmed,"Tên riêng, không dịch"
small business,doanh nghiệp nhỏ,,A business that is independently owned and operated and not dominant in its field,Doanh nghiệp được sở hữu và vận hành độc lập và không có vị thế thống trị trong lĩnh vực của mình,5,confirmed,
small business administration,Cục Quản lý Doanh nghiệp nhỏ Hoa Kỳ,SBA,,,5,confirmed,Cơ quan chính phủ Hoa Kỳ
small business administration (sba),Cục Quản lý Doanh nghiệp nhỏ Hoa Kỳ (SBA),,,,5,confirmed,
small business association,Hiệp hội Doanh nghiệp nhỏ Hoa Kỳ,,,,5,confirmed,
small business investment companies (sbics),các công ty đầu tư doanh nghiệp nhỏ (SBIC),,,,5,confirmed,
startupnation,StartupNation,,,,5,confirmed,"Tên riêng, không dịch"
texas instruments,Texas Instruments,,,,5,confirmed,"Tên riêng, không dịch"
u.s. census bureau,Cục Thống kê Dân số Hoa Kỳ,,,,5,confirmed,
venture capital,vốn đầu tư mạo hiểm,,Financing provided by investment firms to high-potential startups,Nguồn tài chính do các công ty đầu tư cung cấp cho các startup có tiềm năng lớn,5,confirmed,
vf corporation,VF Corporation,,,,5,confirmed,"Tên riêng, không dịch"
xerox,Xerox,,,,5,confirmed,"Tên riêng, không dịch"
abercrombie,Abercrombie,,,,chapter-6,approved,Tên riêng
airbus,Airbus,,,,chapter-6,approved,Tên riêng
american eagle,American Eagle,,,,chapter-6,approved,Tên riêng
autocratic leaders,nhà lãnh đạo độc đoán,lãnh đạo chuyên quyền,,,chapter-6,approved,
autodesk,Autodesk,,,,chapter-6,approved,Tên riêng
boeing,Boeing,,,,chapter-6,approved,Tên riêng
clairol,Clairol,,,,chapter-6,approved,Tên riêng
coercive power,quyền lực cưỡng chế,quyền lực ép buộc,,,chapter-6,approved,
conceptual skills,kỹ năng tư duy,kỹ năng nhận thức,,,chapter-6,approved,
consensual leaders,nhà lãnh đạo đồng thuận,lãnh đạo nhất trí,,,chapter-6,approved,
consultative leaders,nhà lãnh đạo tham vấn,lãnh đạo tư vấn,,,chapter-6,approved,
contingency plans,kế hoạch dự phòng,,,,chapter-6,approved,
controlling,kiểm soát,kiểm tra,,,chapter-6,approved,
corporate culture,văn hóa doanh nghiệp,,,,chapter-6,approved,
decisional role,vai trò ra quyết định,,,,chapter-6,approved,
delta,Delta,,,,chapter-6,approved,Tên riêng
democratic leaders,nhà lãnh đạo dân chủ,,,,chapter-6,approved,
ebay,eBay,,,,chapter-6,approved,Tên riêng
effectiveness,hiệu quả,tính hữu hiệu,,,chapter-6,approved,
efficiency,hiệu suất,tính hiệu quả cao,,,chapter-6,approved,
empowerment,trao quyền,,,,chapter-6,approved,
expert power,quyền lực chuyên môn,,,,chapter-6,approved,
free-rein,lãnh đạo tự do,ủy thác hoàn toàn,,,chapter-6,approved,
gap,Gap,,,,chapter-6,approved,Tên riêng
gartner,Gartner,,,,chapter-6,approved,Tên riêng
general electric,General Electric,,,,chapter-6,approved,Tên riêng
gillette,Gillette,,,,chapter-6,approved,Tên riêng
global management skills,kỹ năng quản trị toàn cầu,,,,chapter-6,approved,
google,Google,,,,chapter-6,approved,Tên riêng
gucci,Gucci,,,,chapter-6,approved,Tên riêng
hewlett packard,Hewlett Packard,,,,chapter-6,approved,Tên riêng
human relations skills,kỹ năng quan hệ nhân sự,kỹ năng đối nhân xử thế,kỹ năng tương tác con người,,,6,approved
iams,IAMS,,,,chapter-6,approved,Tên riêng
informational role,vai trò thông tin,,,,chapter-6,approved,
interpersonal roles,các vai trò tương tác cá nhân,vai trò quan hệ con người,,,chapter-6,approved,
j.crew,J.Crew,,,,chapter-6,approved,Tên riêng
laissez-faire,lãnh đạo tự do,lãnh đạo mặc kệ,laissez-faire,,,6,approved
leadership,khả năng lãnh đạo,sự lãnh đạo,,,chapter-6,approved,
leadership style,phong cách lãnh đạo,,,,chapter-6,approved,
legitimate power,quyền lực hợp pháp,quyền lực chính đáng,,,chapter-6,approved,
management,quản trị,quản lý,,,chapter-6,approved,
marriott,Marriott,,,,chapter-6,approved,Tên riêng
mcdonald’s,McDonald’s,,,,chapter-6,approved,Tên riêng
middle management,quản trị viên cấp trung,cấp quản lý trung gian,,,chapter-6,approved,
mission,sứ mệnh,,,,chapter-6,approved,
mission statement,tuyên bố sứ mệnh,,,,chapter-6,approved,
nike,Nike,,,,chapter-6,approved,Tên riêng
nonprogrammed decisions,quyết định không theo chương trình,quyết định phi cấu trúc,,,chapter-6,approved,
norfolk southern,Norfolk Southern,,,,chapter-6,approved,Tên riêng
norfolk southern railroad,Norfolk Southern Railroad,,,,chapter-6,approved,Tên riêng
operational planning,lập kế hoạch vận hành,hoạch định tác nghiệp,,,chapter-6,approved,
oreck,Oreck,,,,chapter-6,approved,Tên riêng
organizing,tổ chức,công tác tổ chức,,,chapter-6,approved,
participative leaders,nhà lãnh đạo tham gia,,,,chapter-6,approved,
planning,lập kế hoạch,hoạch định,,,chapter-6,approved,
power,quyền lực,,,,chapter-6,approved,
prada,Prada,,,,chapter-6,approved,Tên riêng
procter &amp; gamble,Procter &amp; Gamble,,,,chapter-6,approved,Tên riêng
programmed decisions,quyết định theo chương trình,quyết định có cấu trúc,,,chapter-6,approved,
referent power,quyền lực thu hút,quyền lực tham chiếu,uy tín cá nhân,,,6,approved
reward power,quyền lực khen thưởng,,,,chapter-6,approved,
situational leadership,lãnh đạo theo tình huống,,,,chapter-6,approved,
skechers,Skechers,,,,chapter-6,approved,Tên riêng
southwest,Southwest,,,,chapter-6,approved,Tên riêng
strategic planning,lập kế hoạch chiến lược,hoạch định chiến lược,,,chapter-6,approved,
supervisory (first-line) management,quản trị viên cấp cơ sở,cấp giám sát trực tiếp,,,chapter-6,approved,
tactical planning,lập kế hoạch chiến thuật,hoạch định chiến thuật,,,chapter-6,approved,
technical skills,kỹ năng kỹ thuật,kỹ năng chuyên môn nghiệp vụ,,,chapter-6,approved,
top management,quản trị viên cấp cao,ban lãnh đạo tối cao,,,chapter-6,approved,
tripadvisor,TripAdvisor,,,,chapter-6,approved,Tên riêng
twitter,Twitter,,,,chapter-6,approved,Tên riêng
welch,Welch,,,,chapter-6,approved,Tên riêng
wella ag,Wella AG,,,,chapter-6,approved,Tên riêng
whitman,Whitman,,,,chapter-6,approved,Tên riêng
affirmative action programs,chương trình hành động khẳng định,chương trình ưu đãi nhóm yếu thế | chính sách tạo cơ hội bình đẳng,Programs established by organizations to actively recruit and promote members of groups that have historically faced discrimination.,Các chương trình được thiết lập bởi các tổ chức nhằm chủ động tuyển dụng và thăng tiến cho các thành viên thuộc nhóm lịch sử từng bị phân biệt đối xử.,chapter-8,confirmed,
agency shop,nơi làm việc đóng phí nghiệp đoàn,văn phòng đại diện nghiệp đoàn thu phí | xưởng đóng phí công đoàn,A workplace where employees do not have to join the union but must pay a fee equal to union dues to cover collective bargaining costs.,Nơi làm việc mà nhân viên không bắt buộc gia nhập nghiệp đoàn nhưng phải đóng khoản phí tương đương công đoàn phí để chi trả cho các chi phí thương lượng tập thể.,chapter-8,confirmed,
apprenticeship,học việc,chương trình học nghề | vừa học vừa làm,A form of training that combines on-the-job instruction with classroom instruction to prepare individuals for a skilled trade.,Hình thức đào tạo kết hợp hướng dẫn thực hành tại chỗ với học lý thuyết trên lớp để chuẩn bị cho học viên làm một nghề có tay nghề cao.,chapter-8,confirmed,
collective bargaining,thương lượng tập thể,đàm phán tập thể | thương thảo thỏa ước lao động,The process of negotiating labor agreements between union representatives and management.,Quá trình đàm phán thỏa ước lao động tập thể giữa đại diện công đoàn và ban quản lý.,chapter-8,confirmed,
competitive advantage,lợi thế cạnh tranh,ưu thế cạnh tranh,A condition or circumstance that puts a company in a favorable or superior business position.,Điều kiện hoặc hoàn cảnh đưa doanh nghiệp vào vị thế kinh doanh thuận lợi hoặc vượt trội.,chapter-8,confirmed,
conciliation,hòa giải,thương lượng hòa giải | dàn xếp tranh chấp,A method of settling labor disputes where a neutral third party helps the disputing parties reach a voluntary agreement.,Phương pháp giải quyết tranh chấp lao động trong đó bên thứ ba trung lập giúp các bên tranh chấp đạt được thỏa thuận tự nguyện.,chapter-8,confirmed,
contingent worker,lao động thời vụ,lao động hợp đồng ngắn hạn | nhân sự thuê ngoài,A temporary or part-time worker who does not expect a long-term employment relationship with the organization.,"Người lao động làm việc tạm thời hoặc bán thời gian, không mong đợi một mối quan hệ lao động dài hạn với tổ chức.",chapter-8,confirmed,
equal employment opportunity commission,Ủy ban Cơ hội Việc làm Bình đẳng,Ủy ban EEOC,The federal agency responsible for enforcing federal laws that make it illegal to discriminate against a job applicant or an employee.,Cơ quan liên bang chịu trách nhiệm thực thi luật liên bang quy định việc phân biệt đối xử với người xin việc hoặc nhân viên là bất hợp pháp.,chapter-8,confirmed,
federation,liên đoàn,tổng liên đoàn lao động,An association of national unions that coordinates activities and provides services to member unions.,Một hiệp hội gồm các nghiệp đoàn/công đoàn quốc gia nhằm phối hợp các hoạt động và cung cấp dịch vụ cho các nghiệp đoàn thành viên.,chapter-8,confirmed,
grievance,khiếu nại,khiếu nại lao động | tranh chấp cá nhân,A formal complaint by an employee or union that management has violated some part of the collective bargaining agreement.,Khiếu nại chính thức của nhân viên hoặc công đoàn cáo buộc rằng ban quản lý đã vi phạm một số phần của thỏa ước lao động tập thể.,chapter-8,confirmed,
human resource (hr) management,quản trị nguồn nhân lực,quản trị nhân sự | quản lý nguồn nhân lực,"The process of hiring, developing, motivating, and evaluating employees to achieve organizational goals.","Quá trình tuyển dụng, phát triển, tạo động lực và đánh giá nhân viên để đạt được các mục tiêu của tổ chức.",chapter-8,confirmed,
human resource planning,lập kế hoạch nguồn nhân lực,hoạch định nhân sự | quy hoạch nguồn nhân lực,The strategy for meeting an organization's future human resource needs.,Chiến lược nhằm đáp ứng nhu cầu nguồn nhân lực trong tương lai của một tổ chức.,chapter-8,confirmed,
incentive pay,lương thưởng khuyến khích,lương theo hiệu suất | thưởng hiệu quả công việc,"Compensation designed to motivate employees to perform at higher levels, such as bonuses, commissions, or profit sharing.","Khoản thù lao được thiết kế để khuyến khích nhân viên làm việc ở mức hiệu suất cao hơn, chẳng hạn như tiền thưởng, hoa hồng hoặc chia sẻ lợi nhuận.",chapter-8,confirmed,
job analysis,phân tích công việc,đánh giá vị trí công việc,"A study of the tasks, duties, and responsibilities of a job and the skills and knowledge required to perform it.","Nghiên cứu về các nhiệm vụ, bổn phận và trách nhiệm của một công việc cũng như các kỹ năng và kiến thức cần thiết để thực hiện công việc đó.",chapter-8,confirmed,
job description,bản mô tả công việc,mô tả công việc | JD,"A written statement listing the tasks, duties, and responsibilities of a specific job.","Văn bản liệt kê các nhiệm vụ, nghĩa vụ và trách nhiệm của một công việc cụ thể.",chapter-8,confirmed,
job fair,ngày hội việc làm,hội chợ việc làm | ngày hội tuyển dụng,An event where employers gather to meet and recruit potential job candidates.,Sự kiện nơi các nhà tuyển dụng tập trung để gặp gỡ và tuyển dụng các ứng viên tiềm năng.,chapter-8,confirmed,
job rotation,luân chuyển công việc,xoay vòng công việc,The practice of moving employees from one job to another to broaden their experience and prevent burnout.,Thực hành chuyển đổi nhân viên từ công việc này sang công việc khác để mở rộng kinh nghiệm của họ và ngăn ngừa sự nhàm chán.,chapter-8,confirmed,
job specification,bản yêu cầu công việc,tiêu chuẩn tuyển chọn nhân sự | thông số công việc,"A written statement listing the skills, education, and experience required of a person to perform a specific job.","Văn bản liệt kê các kỹ năng, học vấn và kinh nghiệm cần thiết của một người để thực hiện một công việc cụ thể.",chapter-8,confirmed,
labor union,nghiệp đoàn,công đoàn | nghiệp đoàn lao động,"An organization of workers that acts collectively to negotiate wages, hours, and working conditions with employers.","Tổ chức của người lao động hoạt động tập thể để thương lượng tiền lương, giờ làm việc và điều kiện làm việc với người sử dụng lao động.",chapter-8,confirmed,
local union,nghiệp đoàn cơ sở,công đoàn cơ sở | chi nhánh nghiệp đoàn,A local branch of a national union that represents employees in a specific workplace or geographic area.,"Nhánh địa phương của một nghiệp đoàn quốc gia, đại diện cho nhân viên tại một nơi làm việc hoặc khu vực địa lý cụ thể.",chapter-8,confirmed,
management rights clause,điều khoản quyền quản lý,điều khoản đặc quyền quản lý,A clause in a collective bargaining agreement that outlines the decisions management can make without consulting the union.,Điều khoản trong thỏa ước lao động tập thể quy định các quyết định ban quản lý có thể đưa ra mà không cần tham khảo ý kiến của công đoàn.,chapter-8,confirmed,
mentoring,cố vấn kèm cặp,kèm cặp | cố vấn,A developmental partnership in which an experienced person guides and supports a less-experienced person.,"Quan hệ hợp tác phát triển, trong đó một người có kinh nghiệm hướng dẫn và hỗ trợ một người ít kinh nghiệm hơn.",chapter-8,confirmed,
occupational safety and health administration,Cơ quan Quản lý An toàn và Sức khỏe Nghề nghiệp,Cơ quan OSHA | Cục An toàn và Sức khỏe Nghề nghiệp,The federal agency responsible for setting and enforcing workplace safety and health standards.,Cơ quan liên bang chịu trách nhiệm thiết lập và thực thi các tiêu chuẩn an toàn và sức khỏe tại nơi làm việc.,chapter-8,confirmed,
open shop,nơi làm việc tự do gia nhập nghiệp đoàn,xưởng mở | chế độ mở nghiệp đoàn,"A workplace where employees do not have to join the union or pay union dues, even if a union represents the workforce.","Nơi làm việc mà nhân viên không bắt buộc phải gia nhập nghiệp đoàn hoặc đóng công đoàn phí, ngay cả khi nghiệp đoàn đại diện cho lực lượng lao động đó.",chapter-8,confirmed,
orientation,định hướng nhân viên mới,đào tạo định hướng | chương trình hội nhập,"The process of introducing new employees to the organization, their jobs, and their coworkers.","Quá trình giới thiệu nhân viên mới với tổ chức, công việc của họ và các đồng nghiệp.",chapter-8,confirmed,
performance appraisal,đánh giá hiệu suất công việc,đánh giá hiệu quả công việc | đánh giá năng lực nhân viên,The evaluation of an employee's job performance against established standards.,Việc đánh giá hiệu quả thực hiện công việc của nhân viên so với các tiêu chuẩn đã được thiết lập.,chapter-8,confirmed,
programmed instruction,hướng dẫn lập trình sẵn,đào tạo tự định lượng | hướng dẫn theo lập trình,A self-teaching method of instruction that presents information in small steps and tests learning after each step.,Phương pháp tự học trình bày thông tin theo từng bước nhỏ và kiểm tra kết quả học tập ngay sau mỗi bước.,chapter-8,confirmed,
protected class,nhóm đối tượng được bảo vệ,nhóm đối tượng được luật pháp bảo vệ,"Groups of people protected from discrimination under federal and state laws, such as those based on race, sex, age, or religion.","Các nhóm người được bảo vệ khỏi sự phân biệt đối xử theo luật liên bang và tiểu bang, chẳng hạn như phân biệt đối xử dựa trên chủng tộc, giới tính, tuổi tác hoặc tôn giáo.",chapter-8,confirmed,
recruitment,tuyển mộ,tuyển dụng | thu hút nhân sự,The process of finding and attracting qualified applicants for job openings.,Quá trình tìm kiếm và thu hút các ứng viên có đủ năng lực cho các vị trí công việc còn trống.,chapter-8,confirmed,
recruitment branding,xây dựng thương hiệu tuyển dụng,thương hiệu nhà tuyển dụng | Employer Branding,The process of promoting an organization as an employer of choice to attract talent.,Quá trình quảng bá tổ chức như một nhà tuyển dụng được ưu chuộng để thu hút nhân tài.,chapter-8,confirmed,
right-to-work law,luật quyền làm việc,luật cấm ép buộc gia nhập nghiệp đoàn,"State laws that prohibit union security agreements, allowing employees to work without being forced to join or pay dues to a union.","Luật tiểu bang nghiêm cấm các thỏa thuận an ninh nghiệp đoàn, cho phép nhân viên làm việc mà không bị ép buộc gia nhập hoặc đóng phí cho nghiệp đoàn.",chapter-8,confirmed,
selection,tuyển chọn,lựa chọn nhân sự | chọn lọc ứng viên,The process of evaluating applicants and choosing the best candidate for a job.,Quá trình đánh giá các ứng viên và chọn ra ứng cử viên tốt nhất cho công việc.,chapter-8,confirmed,
selection interview,phỏng vấn tuyển chọn,phỏng vấn tuyển dụng,An in-depth discussion between an applicant and an employer to assess suitability for a job.,Cuộc thảo luận sâu giữa ứng viên và người sử dụng lao động để đánh giá mức độ phù hợp với công việc.,chapter-8,confirmed,
selective strike strategy,chiến lược đình công chọn lọc,đình công cục bộ,A union strategy of striking only selected plants or operations of an employer to minimize cost to the union while disrupting operations.,Chiến lược nghiệp đoàn chỉ tổ chức đình công tại các nhà máy hoặc bộ phận vận hành được lựa chọn của chủ doanh nghiệp nhằm giảm thiểu chi phí cho nghiệp đoàn trong khi vẫn gây gián đoạn hoạt động.,chapter-8,confirmed,
shop steward,đại diện nghiệp đoàn tại xưởng,đại diện công đoàn cơ sở | trưởng ban công đoàn phân xưởng,A union member elected by peers to represent them and resolve grievances at the workplace level.,Thành viên nghiệp đoàn được các đồng nghiệp bầu ra để đại diện cho họ và giải quyết các khiếu nại tại nơi làm việc.,chapter-8,confirmed,
