STT,Thuật ngữ Tiếng Anh,Dịch Tiếng Việt,Giải thích,Cột 1
35,BATNA,Phương án thay thế tốt nhất,Phương án thay thế tốt nhất cho một thỏa thuận thương lượng nếu thương lượng thất bại.,
36,Behavior modification,Điều chỉnh hành vi,Sử dụng các nguyên tắc điều kiện hóa vận hành để định hình hành vi con người.,
37,Behavioral conflict,Xung đột hành vi,Tồn tại khi một người hoặc một nhóm làm điều gì đó không thể chấp nhận được đối với người khác.,
38,Behavioral criteria,Tiêu chí hành vi,Xác định những gì cấu thành nên hành vi có thể chấp nhận được dưới dạng các tiêu chuẩn khách quan.,
39,Behavioral dilemmas,Các tình huống hành vi khó xử,Quá trình khiến con người thay thế hành vi xác suất thấp cho các hành vi xác suất cao.,
40,Behavioral justification,Sự biện hộ cho hành vi,Nhu cầu đảm bảo rằng các hành vi của một người nhất quán với thái độ của họ.,
41,Behavioral observation scale,Thang quan sát hành vi,Xác định các hành vi có thể quan sát được liên quan đến hiệu suất.,
42,Behavioral self-management,Tự quản trị hành vi,Việc sử dụng các nguyên tắc điều kiện hóa vận hành để tự định hình hành vi của chính mình.,
43,Behaviorally anchored rating scale,Thang đánh giá dựa trên hành vi,Một hệ thống xếp hạng hiệu suất dựa trên các mô tả hành vi cụ thể.,
44,Beliefs,Niềm tin,Những xác tín nội tâm định hướng hành vi và thái độ cá nhân.,
45,Bias,Thiên kiến,"Xu hướng suy nghĩ hoặc đánh giá thiếu tính khách quan, gây lệch lạc trong nhận thức.",
46,Body language,Ngôn ngữ cơ thể,Các biểu hiện cảm xúc vô thức thông qua hành động thể chất.,
47,Boundaries,Ranh giới,Các đường phân định giới hạn tách biệt nhóm với các bên liên quan bên ngoài.,
48,Boundary conditions,Các điều kiện ranh giới,Xác định mức độ tự quyết có sẵn cho nhân viên đối với các hành động tự định hướng.,
49,Bounded rationality,Tính hợp lý có giới hạn,Khái niệm cho rằng con người không thể duy lý hoàn toàn do giới hạn thông tin và nhận thức.,
50,Brainstorming,Động não,Quá trình tạo ra càng nhiều ý tưởng hoặc phương án thay thế càng tốt theo nhóm.,
51,Bureaucratic gamesmanship,Trò chơi quyền lực quan liêu,"Tình huống mà các chính sách của tổ chức cung cấp ""đạn dược"" cho các trò chơi quyền lực.",
52,Bureaucratic model,Mô hình quan liêu,Mô hình của Max Weber nhấn mạnh hiệu quả qua phân công lao động và cấu trúc thứ bậc.,
53,Burnout,Sự kiệt sức,Cảm giác kiệt quệ khi trải qua quá nhiều áp lực và quá ít nguồn thỏa mãn.,
54,Business model,Mô hình kinh doanh,"Lý giải về cách thức một tổ chức tạo ra, chuyển giao và nắm giữ giá trị.",
55,Business model canvas,Ma trận mô hình kinh doanh,Một công cụ mô tả và đánh giá mô hình kinh doanh qua chín thành phần cốt lõi.,
56,Capital,Vốn,"Các nguồn lực tài chính, con người, tri thức dùng để tạo ra giá trị.",
57,Central tendency error,Lỗi xu hướng trung tâm,"Đánh giá mọi người ở mức trung bình, không phân loại được người giỏi hay kém.",
58,Centralization,Sự tập trung hóa,Sự tập trung quyền kiểm soát tổ chức dưới một thẩm quyền duy nhất.,
59,Change agents,Tác nhân thay đổi,Những người thúc đẩy và chịu trách nhiệm thực thi sự thay đổi trong tổ chức.,
60,Change management,Quản trị sự thay đổi,Quá trình thiết kế và triển khai sự thay đổi trong tổ chức.,
61,Character assassination,Công kích cá nhân,Kỹ thuật không hiệu quả bằng cách hạ thấp uy tín đối phương để giải quyết mâu thuẫn.,
62,Charisma,Sức lôi cuốn,Sức hút cá nhân đặc biệt khơi dậy lòng trung thành trong mối quan hệ lãnh đạo.,
63,Charismatic leader,Nhà lãnh đạo lôi cuốn,Người sở hữu quyền lực hợp pháp nảy sinh từ tính cách gương mẫu xuất chúng.,
64,Clan culture,Văn hóa gia đình,"Tập trung vào mối quan hệ, xây dựng đội ngũ và phát triển con người.",
65,Classical conditioning,Điều kiện hóa cổ điển,Quá trình liên kết kích thích có điều kiện với kích thích không điều kiện.,
66,Coalition,Liên minh,Sự phối hợp giữa các đơn vị để tăng cường quyền lực và đạt mục tiêu chung.,
67,Coercive power,Quyền lực cưỡng chế,Việc ép buộc tuân thủ thông qua hình phạt hoặc đe dọa.,
68,Cognitive complexity,Độ phức tạp về nhận thức,Khả năng tiếp nhận thông tin và nhìn nhận từ nhiều khuôn khổ văn hóa khác nhau.,
69,Cognitive conflict,Xung đột nhận thức,Nảy sinh khi các bên nắm giữ ý kiến không nhất quán về nhiệm vụ hoặc ý tưởng.,
70,Cognitive consistency,Sự nhất quán về nhận thức,Nhu cầu đảm bảo hành vi cá nhân nhất quán với thái độ.,
71,Cognitive dissonance,Bất hòa nhận thức,Trạng thái căng thẳng khi hành động không nhất quán với thái độ.,
72,Collaboration,Sự cộng tác,Hành động làm việc chung để tạo ra một giá trị hoặc sản phẩm.,
73,Command group,Nhóm chỉ huy,Nhóm lâu dài được quy định bởi cấu trúc tổ chức chính thức.,
74,Command-and-control,Chỉ huy và kiểm soát,Cách thức báo cáo và kết nối để phối hợp các nỗ lực hoàn thành công việc.,
75,Commitment,Sự cam kết,Mức độ gắn bó và quyết tâm thực hiện mục tiêu của cá nhân.,
76,Communication,Giao tiếp,Quá trình truyền đạt và chia sẻ thông tin giữa các thực thể.,
77,Communicator,Người truyền tin,Cá nhân hoặc tổ chức cần chia sẻ thông tin với đối tượng khác.,
78,Competencies,Năng lực cốt lõi,Tập hợp hành vi định nghĩa các tiêu chuẩn cho sự thành công của tổ chức.,
79,Competing Values Framework,Khung giá trị cạnh tranh,Mô hình dùng để chẩn đoán hiệu quả văn hóa của một tổ chức.,
80,Competition,Cạnh tranh,Nỗ lực vượt qua đối thủ để giành nguồn lực hoặc vị thế.,
81,Complex Adaptive Systems,Các hệ thống thích nghi phức tạp,Nhìn nhận tổ chức như thực thể luôn thích nghi với môi trường như sinh vật sống.,
82,Complex-Stable environments,Môi trường Phức tạp - Ổn định,Môi trường nhiều yếu tố nhưng thay đổi chậm.,
83,Complex-Unstable environments,Môi trường Phức tạp - Không ổn định,"Môi trường nhiều yếu tố và thay đổi nhanh, khó dự báo.",
84,Conditioned response,Phản hồi có điều kiện,Phản ứng có được thông qua học tập điều kiện hóa.,
85,Confirmation bias,Thiên kiến xác nhận,Xu hướng chỉ chú ý đến thông tin xác nhận niềm tin hiện có và phớt lờ thông tin mâu thuẫn.,
86,Conflict,Xung đột,"Bao gồm xung đột mục tiêu, nhận thức, cảm xúc và hành vi.",
87,Consequences,Hệ quả,Các kết quả nảy sinh sau một hành vi cụ thể.,
88,Consideration,Sự quan tâm,"Hành vi lãnh đạo hỗ trợ, thân thiện và tập trung vào nhu cầu nhân viên.",
89,Constructive confrontation,Đối đầu mang tính xây dựng,Xung đột được quản lý tốt dẫn đến kết quả tích cực cho tổ chức.,
90,Content motivation theories,Lý thuyết nội dung về động lực,"Tập trung vào việc ""cái gì"" thúc đẩy con người hành động.",
91,Contingency theory of leadership,Lý thuyết lãnh đạo theo tình huống,Hiệu quả lãnh đạo tùy thuộc vào mức độ phù hợp giữa phong cách và tình huống.,
92,Continuous reinforcement,Củng cố liên tục,Thưởng cho hành vi mong muốn mỗi khi nó xảy ra.,
93,Conventional mindset,Tư duy truyền thống,Giả định nhân viên thường kháng cự thay đổi và cần được thúc đẩy từ bên ngoài.,
94,Cooperativeness,Tính hợp tác,Mức độ quan tâm đến việc thỏa mãn mối quan tâm của đối phương.,
95,Corporate culture,Văn hóa doanh nghiệp,Hệ thống niềm tin và cách làm việc tạo ra bản sắc riêng của tổ chức.,
96,Corporate entrepreneurship,Khởi nghiệp trong lòng doanh nghiệp,Tạo ra dự án kinh doanh mới bên trong các tổ chức lớn.,
97,Counterpower,Quyền lực đối trọng,Khả năng của bên yếu hơn trong việc giảm bớt ảnh hưởng của bên mạnh hơn.,
98,Creativity,Sự sáng tạo,"Việc tạo ra các ý tưởng mới, độc đáo và có giá trị thực tiễn.",
99,Critical incident technique,Kỹ thuật các tình huống quan trọng,Ghi lại các ví dụ về thành công hoặc thất bại bất thường để đánh giá.,
100,Critical thinking,Tư duy phản biện,Quá trình kỷ luật nhằm đánh giá chất lượng thông tin và tính logic.,
101,Crowdfunding,Huy động vốn cộng đồng,Gây quỹ cho dự án mới từ một đám đông lớn qua Internet.,
102,Cultural intelligence,Trí tuệ văn hóa,Kỹ năng hoạt động hiệu quả trong các môi trường đa văn hóa.,
103,Culture,Văn hóa,Lập trình tập thể của tâm trí phân biệt các nhóm người với nhau.,
104,Culture change,Thay đổi văn hóa,Tái định hình bản sắc cốt lõi và các giá trị của tổ chức.,
105,Debt capital,Vốn vay,Nguồn vốn phải được hoàn trả theo thỏa thuận trong tương lai.,
106,Decentralization,Phi tập trung,Đẩy quyền ra quyết định xuống các cấp thấp hơn trong tổ chức.,phi tập trung
107,Decision-making,Ra quyết định,Hành động suy nghĩ và chọn lựa giữa các phương án khả thi.,
108,Decoding,Giải mã,Diễn giải và mang lại ý nghĩa cho thông điệp nhận được.,
109,Decoupling,Sự tách rời,Giảm thiểu tương tác giữa hai nhóm để hạn chế xung đột trong công việc.,
110,Deficit-based change,Thay đổi dựa trên thiếu hụt,Thay đổi bằng cách tập trung vào việc sửa chữa lỗi lầm và khắc phục vấn đề.,
111,Delegation,Sự ủy quyền,Giao phó nhiệm vụ và quyền hạn cho cấp dưới thực hiện.,
112,Dependability,Sự tin cậy,Đặc điểm của cá nhân có trách nhiệm và nhất quán trong công việc.,
113,Design,Thiết kế,Quá trình lên kế hoạch và tạo cấu trúc cho hệ thống.,
114,Design thinking,Tư duy thiết kế,Quy trình tìm giải pháp sáng tạo cho các vấn đề phức tạp.,
115,Designated leader,Nhà lãnh đạo được chỉ định,Người được tổ chức bổ nhiệm chính thức vào vị trí lãnh đạo.,
116,Determinism,Quyết định luận,Quan điểm mọi sự kiện đều có nguyên nhân từ trước.,
117,Devil’s advocate,Phản biện đối lập,Thành viên nhóm đóng vai trò chỉ trích để kiểm tra tính đúng đắn của ý tưởng.,
118,Differentiation,Sự phân hóa,Tổ chức nhân viên thành các nhóm chuyên môn hóa chức năng.,
119,Direction,Hướng đích,Mục tiêu cụ thể mà cá nhân có động lực hướng tới.,
120,Dispositional approach,Tiếp cận theo khuynh hướng,Lập luận thái độ là những đặc điểm tương đối ổn định của cá nhân.,
121,Dissonance,Sự bất hòa,Trạng thái không nhất quán gây khó chịu tâm lý.,
122,Distributive bargaining,Thương lượng phân phối,Thương lượng trên nguồn lực hữu hạn nơi lợi ích bên này là thiệt hại bên kia.,
123,Distributive justice,Công bằng phân phối,Sự công bằng trong việc chia sẻ phần thưởng dựa trên đóng góp.,
124,Disturbances,Sự xáo trộn,Các yếu tố gây áp lực có thể thúc đẩy sự thay đổi tổ chức.,
125,Diversity,Sự đa dạng,"Sự khác biệt về đặc điểm, quan điểm và văn hóa giữa các cá nhân.",
126,Divisional structure,Cấu trúc bộ phận,Nhóm các phòng ban chức năng dưới quyền một trưởng bộ phận.,
127,Dogmatism,Sự giáo điều,Phong cách nhận thức hẹp hòi và thiếu linh hoạt.,
128,Domain,Lĩnh vực hoạt động,Phạm vi mục tiêu và thị trường mà tổ chức tập trung vào.,
129,Drive,Động lực thúc đẩy,Trạng thái nhu cầu được cảm nhận rõ rệt dẫn đến hành động.,
130,Due process nonaction,Không hành động đúng quy trình,Trì hoãn giải quyết khiếu nại để làm nản lòng người bất mãn.,
131,Effectiveness,Tính hiệu quả,Mức độ đạt được các mục tiêu đã đề ra.,
132,Efficiency,Tính năng suất,Sử dụng tối ưu nguồn lực để tạo ra đầu ra tối đa.,
133,Effort-performance expectancy,Kỳ vọng nỗ lực - kết quả,Niềm tin rằng nỗ lực sẽ dẫn đến thành công trong công việc.,
134,Emergent leader,Nhà lãnh đạo mới nổi,Người trở thành lãnh đạo nhờ sự thừa nhận tự nhiên của nhóm.,
135,Emergent approach,Tiếp cận trỗi dậy,Nhìn nhận sự thay đổi là kết quả của các tương tác hàng ngày của nhân viên.,
136,Emotional intelligence,Trí tuệ cảm xúc,Khả năng thấu hiểu và quản lý cảm xúc bản thân và người khác.,
137,Employee life cycle,Vòng đời nhân viên,Các giai đoạn từ khi thu hút đến khi nhân viên rời khỏi tổ chức.,
138,Employer-employee relationship,Quan hệ lao động,Liên kết pháp lý và xã hội giữa người làm thuê và người chủ.,
139,Empowerment,Sự trao quyền,Trao thêm quyền tự chủ và trách nhiệm cho nhân viên.,
140,Encoding,Mã hóa,Chuyển ý tưởng thành thông điệp bằng ký hiệu hoặc ngôn ngữ.,
141,Entrepreneurs,Nhà khởi nghiệp,Cá nhân biến cơ hội thành dự án kinh doanh có giá trị.,
142,Entrepreneurship,Tinh thần khởi nghiệp,Quá trình thiết kế và vận hành doanh nghiệp mới.,
143,Environment,Môi trường,Các yếu tố bên ngoài và bên trong tác động đến tổ chức.,
144,Equity capital,Vốn chủ sở hữu,"Khoản đầu tư của chủ sở hữu, không bắt buộc ngày hoàn trả.",
145,Equity theory,Lý thuyết công bằng,Động lực dựa trên sự so sánh tỷ lệ đóng góp/kết quả với người khác.,
146,ERG theory,Lý thuyết ERG,"Phân loại nhu cầu thành: Tồn tại (E), Quan hệ (R) và Phát triển (G).",
147,Escalation of commitment,Leo thang cam kết,Tiếp tục đổ nguồn lực vào một quyết định sai lầm.,
148,Established business owners,Chủ doanh nghiệp đã ổn định,Cá nhân vận hành doanh nghiệp trên 3.5 năm.,
149,Ethics,Đạo đức,Các nguyên tắc định hướng hành vi đúng đắn trong tổ chức.,
150,Eustress,Stress tích cực,Áp lực lành mạnh giúp tăng hiệu suất và sự hứng khởi.,
151,Evaluation,Đánh giá,Sự thẩm định định kỳ về kết quả hoặc chất lượng.,
152,Evidence-based decision-making,Ra quyết định dựa trên bằng chứng,Sử dụng dữ liệu tin cậy nhất để đưa ra lựa chọn quản trị.,
153,Executive managers,Quản trị viên điều hành,Lãnh đạo cấp cao nhất chịu trách nhiệm về chiến lược.,
154,Exit,Rời khỏi,Hình thức chấm dứt mối quan hệ với nhóm hoặc tổ chức.,
155,Expectancy theory,Lý thuyết kỳ vọng,Động lực = Kỳ vọng x Tính công cụ x Trị giá.,
156,Expert power,Quyền lực chuyên gia,Ảnh hưởng dựa trên kiến thức và chuyên môn đặc biệt.,
157,Extinction,Sự dập tắt,Giảm hành vi do không còn nhận được sự củng cố tích cực.,
158,Extrinsic motivation,Động lực ngoại tại,"Thúc đẩy bởi phần thưởng bên ngoài (tiền, danh hiệu).",
159,Extrinsic outcomes,Kết quả ngoại tại,Những kết quả do người khác (như cấp trên) trao tặng.,
160,Extrinsic rewards,Phần thưởng ngoại tại,"Phần thưởng bên ngoài công việc như lương, thưởng.",
161,Extroversion,Hướng ngoại,Xu hướng tập trung vào các sự kiện và con người bên ngoài.,
162,Family entrepreneurship,Khởi nghiệp gia đình,Doanh nghiệp thuộc sở hữu và quản lý bởi một gia đình.,
163,Feedback,Phản hồi,Thông tin dùng để điều chỉnh hành vi và cải thiện kết quả.,
164,Figurehead role,Vai trò đại diện,Thực hiện các nhiệm vụ mang tính nghi lễ của nhà quản lý.,
165,First mover,Người tiên phong,Doanh nghiệp đầu tiên mở lối trong một thị trường mới.,
166,First-line management,Quản lý cấp cơ sở,Cấp quản lý trực tiếp điều hành nhân viên thực thi.,
167,Flat organization,Tổ chức phẳng,"Cấu trúc ít cấp bậc, tăng cường quyền tự quyết cho nhân viên.",
168,Flexible benefits system,Hệ thống phúc lợi linh hoạt,Cho phép nhân viên chọn gói phúc lợi theo nhu cầu cá nhân.,
169,Formal group,Nhóm chính thức,Nhóm được tổ chức thiết lập để thực hiện nhiệm vụ cụ thể.,
170,Formal leader,Nhà lãnh đạo chính thức,Người có quyền lực dựa trên vị trí được bổ nhiệm chính thức.,
171,Formal organization,Tổ chức chính thức,Hệ thống quy tắc và cấu trúc được văn bản hóa.,
172,Formalization,Sự chính thức hóa,Thiết lập các quy trình và chuẩn mực hoạt động bằng văn bản.,
173,Forming,Giai đoạn hình thành,Giai đoạn đầu khi các thành viên nhóm tìm hiểu nhau.,
174,Friendship group,Nhóm bạn bè,Nhóm không chính thức dựa trên sự quý mến cá nhân.,
175,Frustration,Sự thất vọng,Phản ứng khi gặp chướng ngại vật cản trở mục tiêu.,
176,Functional structure,Cấu trúc chức năng,Tổ chức nhân sự theo các nghiệp vụ chuyên môn tương đồng.,
177,Fundamental attribution error,Lỗi quy kết về bản chất,Coi trọng quá mức yếu tố cá nhân khi đánh giá lỗi sai của người khác.,lỗi quy kết về bản chất - thấy ng ta có lỗi thì kết luận là bản chất ng ta xấu xa
178,Gain sharing,Chia sẻ lợi ích,Thưởng cho nhân viên dựa trên sự cải thiện năng suất hoặc tiết kiệm chi phí.,
179,General adaptation syndrome,Hội chứng thích nghi chung,"Các giai đoạn cơ thể phản ứng với stress: Báo động, Kháng cự, Kiệt quệ.",
180,Geographic structure,Cấu trúc địa lý,Tổ chức theo khu vực thị trường để phục vụ khách hàng tốt hơn.,
181,Goal commitment,Cam kết mục tiêu,Quyết tâm của cá nhân trong việc đạt được mục tiêu đã định.,
182,Goal conflict,Xung đột mục tiêu,Sự mâu thuẫn về ưu tiên giữa các mục tiêu khác nhau.,
183,Goal theory,Lý thuyết mục tiêu,Mục tiêu khó và cụ thể sẽ thúc đẩy hiệu suất cao hơn.,
184,Goals,Mục tiêu,Những trạng thái mong muốn tổ chức muốn đạt được trong tương lai.,
185,Graphic rating scale,Thang đo đánh giá đồ họa,Đánh giá qua các tiêu chí có sẵn trên một dải điểm số.,
186,Great man theory,Lý thuyết vĩ nhân,Quan điểm cho rằng lãnh đạo là tố chất bẩm sinh của người xuất chúng.,
187,Ground rules,Các quy tắc cơ bản,Quy tắc ứng xử thống nhất giữa các thành viên trong nhóm.,
188,Group,Nhóm,Tập hợp từ hai người trở lên tương tác để đạt mục tiêu.,
189,Group cohesiveness,Tính gắn kết của nhóm,Sự lôi cuốn của nhóm khiến các thành viên muốn ở lại.,
190,Group-level change,Thay đổi cấp độ nhóm,Tập trung vào cải thiện các mối quan hệ và cách phối hợp nhóm.,
191,Groupthink,Tư duy tập thể,Áp lực đồng thuận khiến nhóm đưa ra các quyết định thiếu phản biện.,
192,Habit,Thói quen,Mối liên kết ổn định giữa kích thích và phản hồi qua thời gian.,
193,Halo effect,Hiệu ứng hào quang,Một đặc điểm tích cực khiến đánh giá tổng thể bị lệch lạc theo hướng tốt.,
194,Hardiness,Sự bản lĩnh,Khả năng chuyển hóa áp lực thành động lực phát triển.,
195,"Head, body, and heart","Đầu, thân và tim","Ba phương diện của trí tuệ văn hóa: kiến thức, hành động và cảm xúc.",
196,Health promotion programs,Các chương trình nâng cao sức khỏe,Hoạt động của tổ chức nhằm cải thiện thể chất cho nhân viên.,
197,Hedonism,Thuyết khoái lạc,Hành động để tìm niềm vui và tránh xa nỗi đau.,
198,Heuristics,Lối tắt tư duy,Các quy tắc kinh nghiệm giúp ra quyết định nhanh chóng.,
199,Hierarchy,Thứ bậc,Hệ thống phân cấp quyền lực rõ ràng trong tổ chức.,
200,Hierarchy culture,Văn hóa thứ bậc,"Nhấn mạnh vào sự kiểm soát, quy trình và tính ổn định.",
201,High-technology entrepreneurship,Khởi nghiệp công nghệ cao,Dự án khởi nghiệp dựa trên đột phá kỹ thuật và công nghệ.,
202,Horizontal organizational structures,Cấu trúc tổ chức theo chiều ngang,"Cấu trúc phẳng, linh hoạt và nhấn mạnh vào làm việc nhóm.",
203,Human capital,Vốn con người,Giá trị kinh tế từ kỹ năng và tri thức của con người.,vốn con người
204,Human resource management,Quản trị nguồn nhân lực,Quản lý vòng đời nhân viên để đạt mục tiêu tổ chức.,
205,Human resources compliance,Tuân thủ trong quản trị nhân lực,Đảm bảo mọi hoạt động nhân sự đúng quy định pháp luật.,tuân thủ trong quản trị nhân lực
206,Hygienes,Các yếu tố duy trì,Các yếu tố môi trường làm việc giúp ngăn ngừa sự bất mãn.,
207,Incentives,Khuyến khích / Đãi ngộ,Các tác nhân bên ngoài dùng để thúc đẩy hiệu suất.,
208,Incremental change,Thay đổi tiệm tiến,"Những cải tiến nhỏ, liên tục trên hệ thống hiện có.",
209,Individual assessments,Đánh giá cá nhân,Công cụ đo lường tính cách và phong cách làm việc cá nhân.,
210,Individual development plans,Kế hoạch phát triển cá nhân,Lộ trình cải thiện năng lực riêng biệt cho từng nhân viên.,
211,Individual-level change,Thay đổi cấp độ cá nhân,Giúp từng nhân viên thay đổi kỹ năng hoặc thái độ.,
212,Industrial competitiveness,Năng lực cạnh tranh công nghiệp,Khả năng vượt trội của một ngành/doanh nghiệp trên thị trường.,
213,Influence,Sự ảnh hưởng,Khả năng tác động đến hành vi của người khác.,
214,Informal group,Nhóm không chính thức,"Hình thành tự nhiên từ nhu cầu xã hội, không do tổ chức thiết lập.",
215,Informal leader,Nhà lãnh đạo không chính thức,Người có ảnh hưởng lớn nhưng không giữ vị trí quản lý chính thức.,
216,Informal organization,Tổ chức không chính thức,Mạng lưới các mối quan hệ xã hội tự phát trong công ty.,
217,Information,Thông tin,Dữ liệu có ý nghĩa dùng để hỗ trợ công việc.,
218,Information flow,Luồng thông tin,Sự lưu chuyển dữ liệu giữa các bộ phận trong tổ chức.,
219,Initiating structure,Cấu trúc khởi xướng,Hành vi lãnh đạo tập trung vào việc tổ chức và hoàn thành nhiệm vụ.,
220,Innovation,Sự đổi mới,Hiện thực hóa các ý tưởng mới vào sản phẩm hoặc quy trình.,
221,Input,Đầu vào (Đóng góp),Các nguồn lực hoặc nỗ lực cá nhân bỏ vào công việc.,
222,Instincts,Bản năng,Các phản ứng tự nhiên bẩm sinh để sinh tồn.,
223,Instrumental values,Giá trị công cụ,Những phương thức hành vi được ưa chuộng để đạt mục tiêu.,
224,Integrative bargaining,Thương lượng tích hợp,"Thương lượng tìm kiếm giải pháp ""thắng - thắng"" cho cả hai bên.",
225,Intensity,Cường độ,Sức mạnh của kích thích tác động lên nhận thức.,
226,Intentionality,Tính có mục đích,Mức độ thay đổi được lên kế hoạch và thực hiện một cách chủ động.,
227,Interaction attentiveness,Sự chú tâm tương tác,Mức độ tập trung của các bên trong quá trình giao tiếp.,
228,Interaction process analysis,Phân tích quá trình tương tác,Công cụ nghiên cứu cách các thành viên nhóm tương tác với nhau.,
229,Interdependence,Sự phụ thuộc lẫn nhau,Các đơn vị cần dựa vào nhau để hoàn thành nhiệm vụ chung.,
230,Interest group,Nhóm lợi ích,Nhóm tập hợp để bảo vệ hoặc theo đuổi một mối quan tâm chung.,
231,Intergroup conflict,Xung đột liên nhóm,Bất đồng xảy ra giữa các phòng ban hoặc đơn vị khác nhau.,
232,Internal dimensions of organizations,Các khía cạnh nội bộ của tổ chức,"Các yếu tố bên trong như văn hóa, cấu trúc tác động đến chiến lược.",
233,Interorganizational conflict,Xung đột liên tổ chức,Mâu thuẫn giữa các tổ chức/công ty khác nhau trên thị trường.,
