key,translation,options,desc_en,desc_vi,chapter,status,notes,source,frequency,confidence
Average,Trung bình,,"a number that describes the central tendency of the data; there are a number of specialized averages, including the arithmetic mean, weighted mean, median, mode, and geometric mean.","một số mô tả xu hướng trung tâm của dữ liệu; có một số loại trung bình chuyên biệt, bao gồm trung bình cộng, trung bình có trọng số, trung vị, mốt và trung bình nhân.",1;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,5,0.92
Degrees of Freedom ( df ),Bậc tự do ( df ),,the number of objects in a sample that are free to vary.,số lượng các đối tượng trong một mẫu có thể thay đổi.,10;8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,5,0.92
Sample Space,Không gian mẫu,,the set of all possible outcomes of an experiment,tập hợp tất cả các kết quả có thể có của một thí nghiệm,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,5,0.92
Uniform Distribution,Phân phối Đồng nhất,,"a continuous random variable (RV) that has equally likely outcomes over the domain, a < x < b ; often referred as the Rectangular Distribution because the graph of the pdf has the form of a rectangle. Notation: X ~ U ( a , b ). The mean is and the standard deviation is . The probability density function is for a < x < b or a ≤ x ≤ b . The cumulative distribution is P ( X ≤ x ) = .","một biến ngẫu nhiên liên tục (RV) có các kết quả có khả năng xảy ra như nhau trên miền xác định, a < x < b; thường được gọi là Phân phối Chữ nhật vì đồ thị của hàm mật độ xác suất có dạng hình chữ nhật. Ký hiệu: X ~ U(a, b). Trung bình là và độ lệch chuẩn là . Hàm mật độ xác suất là cho a < x < b hoặc a ≤ x ≤ b. Hàm phân phối tích lũy là P(X ≤ x) = .",5;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,5,0.92
Variance,Phương sai,,"mean of the squared deviations from the mean, or the square of the standard deviation; for a set of data, a deviation can be represented as x – where x is a value of the data and is the sample mean. The sample variance is equal to the sum of the squares of the deviations divided by the difference of the sample size and one.","trung bình của các độ lệch bình phương so với trung bình, hoặc bình phương của độ lệch chuẩn; đối với một tập dữ liệu, độ lệch có thể được biểu diễn dưới dạng x – trong đó x là một giá trị của dữ liệu và là trung bình mẫu. Phương sai mẫu bằng tổng các bình phương của các độ lệch chia cho hiệu của kích thước mẫu và một.",13;2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,5,0.92
Confidence Interval (CI),Khoảng tin cậy (CI),,"an interval estimate for an unknown population parameter. This depends on: the desired confidence level, information that is known about the distribution (for example, known standard deviation), the sample and its size.","ước lượng khoảng cho một tham số quần thể chưa biết. Điều này phụ thuộc vào: mức độ tin cậy mong muốn, thông tin đã biết về phân phối (ví dụ: độ lệch chuẩn đã biết), mẫu và kích thước của nó.",8;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,4,0.92
Data,Dữ liệu,,a set of observations (a set of possible outcomes); most data can be put into two groups: qualitative (an attribute whose value is indicated by a label) or quantitative (an attribute whose value is indicated by a number). Quantitative data can be separated into two subgroups: discrete and continuous . Data is discrete if it is the result of counting (such as the number of students of a given ethnic group in a class or the number of books on a shelf). Data is continuous if it is the result of mea,một tập hợp các quan sát (một tập hợp các kết quả có thể có); hầu hết dữ liệu có thể được chia thành hai nhóm: định tính (một thuộc tính có giá trị được chỉ ra bằng một nhãn) hoặc định lượng (một thuộc tính có giá trị được chỉ ra bằng một số). Dữ liệu định lượng có thể được chia thành hai nhóm phụ: rời rạc và liên tục. Dữ liệu là rời rạc nếu nó là kết quả của việc đếm (ví dụ: số lượng sinh viên của một nhóm dân tộc nhất định trong một lớp hoặc số lượng sách trên kệ). Dữ liệu là liên tục nếu nó là kết quả của việc đo lường.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Equally Likely,Đồng khả năng,,Each outcome of an experiment has the same probability.,Mỗi kết quả của một thí nghiệm có cùng xác suất.,3;5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Expected Value,Giá trị kỳ vọng,,"expected arithmetic average when an experiment is repeated many times; also called the mean. Notations: μ . For a discrete random variable (RV) with probability distribution function P ( x ),the definition can also be written in the form μ = x P ( x ).","trung bình cộng kỳ vọng khi một thí nghiệm được lặp lại nhiều lần; còn được gọi là trung bình. Ký hiệu: μ. Đối với một biến ngẫu nhiên rời rạc (RV) với hàm phân phối xác suất P(x), định nghĩa cũng có thể được viết dưới dạng μ = xP(x).",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Inferential Statistics,Thống kê Suy luận,,"also called statistical inference or inductive statistics; this facet of statistics deals with estimating a population parameter based on a sample statistic. For example, if four out of the 100 calculators sampled are defective we might infer that four percent of the production is defective.","còn gọi là suy luận thống kê hoặc thống kê quy nạp; khía cạnh này của thống kê liên quan đến việc ước tính một tham số quần thể dựa trên một thống kê mẫu. Ví dụ, nếu bốn trong số 100 máy tính được lấy mẫu bị lỗi, chúng ta có thể suy luận rằng bốn phần trăm sản phẩm bị lỗi.",1;8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Median,Trung vị,,a number that separates ordered data into halves; half the values are the same number or smaller than the median and half the values are the same number or larger than the median. The median may or may not be part of the data.,một số phân tách dữ liệu đã sắp xếp thành hai nửa; một nửa các giá trị bằng hoặc nhỏ hơn trung vị và một nửa các giá trị bằng hoặc lớn hơn trung vị. Trung vị có thể có hoặc không có trong tập dữ liệu.,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Mutually Exclusive,Đôi một loại trừ,,"Two events are mutually exclusive if the probability that they both happen at the same time is zero. If events A and B are mutually exclusive, then P ( A AND B ) = 0.","Hai sự kiện là đôi một loại trừ nếu xác suất cả hai cùng xảy ra đồng thời bằng 0. Nếu các sự kiện A và B là đôi một loại trừ, thì P(A VÀ B) = 0.",3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
null hypothesis,giả thuyết không,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,4,0.75
p -value,giá trị p,,"the probability that an event will happen purely by chance assuming the null hypothesis is true. The smaller the p -value, the stronger the evidence is against the null hypothesis.","xác suất một sự kiện xảy ra hoàn toàn do ngẫu nhiên giả định giả thuyết không là đúng. Giá trị p càng nhỏ, bằng chứng chống lại giả thuyết không càng mạnh.",9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Poisson Probability Distribution,Phân phối Xác suất Poisson,,a discrete random variable (RV) that counts the number of times a certain event will occur in a specific interval; characteristics of the variable: The probability that the event occurs in a given interval is the same for all intervals. The events occur with a known mean and independently of the time since the last event. The distribution is defined by the mean μ of the event in the interval. Notation: X ~ P ( μ ). The mean is μ = np . The standard deviation is . The probability of having exactl,một biến ngẫu nhiên rời rạc (RV) đếm số lần một sự kiện nhất định xảy ra trong một khoảng thời gian cụ thể; đặc điểm của biến: Xác suất sự kiện xảy ra trong một khoảng thời gian nhất định là như nhau cho tất cả các khoảng thời gian. Các sự kiện xảy ra với trung bình đã biết và độc lập với thời gian kể từ sự kiện cuối cùng. Phân phối được xác định bởi trung bình μ của sự kiện trong khoảng thời gian đó. Ký hiệu: X ~ P(μ). Trung bình là μ = np. Độ lệch chuẩn là . Xác suất có chính xác,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Population,Quần thể,,"all individuals, objects, or measurements whose properties are being studied","tất cả các cá thể, đối tượng hoặc phép đo có đặc điểm đang được nghiên cứu",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Quartiles,Tứ phân vị,,the numbers that separate the data into quarters; quartiles may or may not be part of the data. The second quartile is the median of the data.,các số phân tách dữ liệu thành bốn phần; tứ phân vị có thể có hoặc không có trong tập dữ liệu. Tứ phân vị thứ hai là trung vị của dữ liệu.,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Student's t -Distribution,Phân phối t của Student,,"investigated and reported by William S. Gossett in 1908 and published under the pseudonym Student; the major characteristics of the random variable (RV) are: It is continuous and assumes any real values. The pdf is symmetrical about its mean of zero. However, it is more spread out and flatter at the apex than the normal distribution. It approaches the standard normal distribution as n get larger. There is a ""family"" of t–distributions: each representative of the family is completely defined by t","được điều tra và báo cáo bởi William S. Gossett vào năm 1908 và xuất bản dưới bút danh Student; các đặc điểm chính của biến ngẫu nhiên (RV) là: Nó liên tục và giả định mọi giá trị thực. Hàm mật độ xác suất đối xứng quanh trung bình bằng 0. Tuy nhiên, nó phân tán hơn và có đỉnh phẳng hơn so với phân phối chuẩn. Nó tiến tới phân phối chuẩn tắc khi n tăng lên. Có một ""họ"" các phân phối t: mỗi đại diện của họ được xác định hoàn toàn bởi t",8;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,4,0.92
Type I Error,Sai lầm Loại I,,"The decision is to reject the null hypothesis when, in fact, the null hypothesis is true.",Quyết định bác bỏ giả thuyết không trong khi thực tế giả thuyết không là đúng.,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,4,0.92
Analysis of Variance,Phân tích Phương sai,,"also referred to as ANOVA, is a method of testing whether or not the means of three or more populations are equal. The method is applicable if: all populations of interest are normally distributed. the populations have equal standard deviations. samples (not necessarily of the same size) are randomly and independently selected from each population. The test statistic for analysis of variance is the F -ratio.","còn gọi là ANOVA, là một phương pháp kiểm tra xem trung bình của ba hoặc nhiều quần thể có bằng nhau hay không. Phương pháp này áp dụng nếu: tất cả các quần thể quan tâm được phân phối chuẩn. các quần thể có độ lệch chuẩn bằng nhau. các mẫu (không nhất thiết có cùng kích thước) được chọn ngẫu nhiên và độc lập từ mỗi quần thể. Thống kê kiểm định cho phân tích phương sai là tỷ số F.",13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Binomial Probability Distribution,Phân phối Xác suất Nhị thức,,"a discrete random variable (RV) that arises from Bernoulli trials; there are a fixed number, n , of independent trials. “Independent” means that the result of any trial (for example, trial one) does not affect the results of the following trials, and all trials are conducted under the same conditions. Under these circumstances the binomial RV X is defined as the number of successes in n trials. The notation is: X ~ B ( n , p ). The mean is μ = np and the standard deviation is σ = . The probabili","một biến ngẫu nhiên rời rạc (RV) phát sinh từ các phép thử Bernoulli; có một số cố định, n, các phép thử độc lập. “Độc lập” có nghĩa là kết quả của bất kỳ phép thử nào (ví dụ: phép thử một) không ảnh hưởng đến kết quả của các phép thử tiếp theo, và tất cả các phép thử được thực hiện trong cùng các điều kiện. Trong các trường hợp này, RV nhị thức X được định nghĩa là số lần thành công trong n phép thử. Ký hiệu là: X ~ B(n, p). Trung bình là μ = np và độ lệch chuẩn là σ = . Xác suất",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Blinding,Mù,,not telling participants which treatment a subject is receiving,không cho người tham gia biết họ đang nhận phương pháp điều trị nào,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Continuous Random Variable,Biến ngẫu nhiên liên tục,,a random variable (RV) whose outcomes are measured; the height of trees in the forest is a continuous RV.,một biến ngẫu nhiên (RV) có các kết quả được đo lường; chiều cao của cây trong rừng là một RV liên tục.,1;5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Control Group,Nhóm đối chứng,,a group in a randomized experiment that receives an inactive treatment but is otherwise managed exactly as the other groups,một nhóm trong một thí nghiệm ngẫu nhiên nhận một phương pháp điều trị không hoạt động nhưng được quản lý giống hệt như các nhóm khác,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Convenience Sampling,Lấy mẫu thuận tiện,,a nonrandom method of selecting a sample; this method selects individuals that are easily accessible and may result in biased data.,một phương pháp không ngẫu nhiên để chọn một mẫu; phương pháp này chọn các cá nhân dễ tiếp cận và có thể dẫn đến dữ liệu sai lệch.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Cumulative Relative Frequency,Tần suất tương đối tích lũy,,The term applies to an ordered set of observations from smallest to largest. The cumulative relative frequency is the sum of the relative frequencies for all values that are less than or equal to the given value.,Thuật ngữ này áp dụng cho một tập hợp các quan sát được sắp xếp từ nhỏ nhất đến lớn nhất. Tần suất tương đối tích lũy là tổng các tần suất tương đối cho tất cả các giá trị nhỏ hơn hoặc bằng giá trị đã cho.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Dependent Events,Các sự kiện phụ thuộc,,"If two events are NOT independent, then we say that they are dependent.","Nếu hai sự kiện KHÔNG độc lập, thì chúng được gọi là phụ thuộc.",3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Double-blind experiment,Thí nghiệm mù đôi,,an experiment in which both the subjects of an experiment and the researchers who work with the subjects are blinded,một thí nghiệm trong đó cả người tham gia thí nghiệm và các nhà nghiên cứu làm việc với người tham gia đều bị mù,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Event,Sự kiện,,"a subset of the set of all outcomes of an experiment; the set of all outcomes of an experiment is called a sample space and is usually denoted by S . An event is an arbitrary subset in S . It can contain one outcome, two outcomes, no outcomes (empty subset), the entire sample space, and the like. Standard notations for events are capital letters such as A , B , C , and so on.","một tập con của tập hợp tất cả các kết quả của một thí nghiệm; tập hợp tất cả các kết quả của một thí nghiệm được gọi là không gian mẫu và thường được ký hiệu là S. Một sự kiện là một tập con tùy ý trong S. Nó có thể chứa một kết quả, hai kết quả, không kết quả nào (tập con rỗng), toàn bộ không gian mẫu, v.v. Ký hiệu chuẩn cho các sự kiện là các chữ cái in hoa như A, B, C, v.v.",3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Experiment,Thí nghiệm,,a planned activity carried out under controlled conditions,một hoạt động có kế hoạch được thực hiện trong điều kiện có kiểm soát,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Experimental Unit,Đơn vị thực nghiệm,,any individual or object to be measured,bất kỳ cá thể hoặc đối tượng nào được đo lường,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Explanatory Variable,Biến giải thích,,the independent variable in an experiment; the value controlled by researchers,biến độc lập trong một thí nghiệm; giá trị được các nhà nghiên cứu kiểm soát,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
First Quartile,Tứ phân vị thứ nhất,,the value that is the median of the of the lower half of the ordered data set,giá trị là trung vị của nửa dưới của tập dữ liệu đã sắp xếp,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Frequency Table,Bảng tần số,,a data representation in which grouped data is displayed along with the corresponding frequencies,biểu diễn dữ liệu trong đó dữ liệu được nhóm được hiển thị cùng với các tần số tương ứng,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Geometric Distribution,Phân phối hình học,,a discrete random variable (RV) that arises from the Bernoulli trials; the trials are repeated until the first success. The geometric variable X is defined as the number of trials until the first success. Notation: X ~ G ( p ). The mean is μ = and the standard deviation is σ = . The probability of exactly x failures before the first success is given by the formula: P ( X = x ) = p (1 – p ) x – 1 .,biến ngẫu nhiên rời rạc (RV) phát sinh từ các phép thử Bernoulli; các phép thử được lặp lại cho đến khi thành công lần đầu tiên. Biến hình học X được định nghĩa là số phép thử cho đến khi thành công lần đầu tiên. Ký hiệu: X ~ G ( p ). Trung bình là μ = và độ lệch chuẩn là σ = . Xác suất có đúng x lần thất bại trước lần thành công đầu tiên được cho bởi công thức: P ( X = x ) = p (1 – p ) x – 1 .,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Histogram,Biểu đồ tần suất,,"a graphical representation in x - y form of the distribution of data in a data set; x represents the data and y represents the frequency, or relative frequency. The graph consists of contiguous rectangles.",biểu diễn đồ họa dưới dạng x - y của sự phân bố dữ liệu trong một tập dữ liệu; x biểu thị dữ liệu và y biểu thị tần số hoặc tần số tương đối. Đồ thị bao gồm các hình chữ nhật liền kề.,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Hypergeometric Experiment,Thí nghiệm siêu bội,,"a statistical experiment with the following properties: You take samples from two groups. You are concerned with a group of interest, called the first group. You sample without replacement from the combined groups. Each pick is not independent, since sampling is without replacement. You are not dealing with Bernoulli Trials.","một thí nghiệm thống kê với các đặc điểm sau: Bạn lấy mẫu từ hai nhóm. Bạn quan tâm đến một nhóm cụ thể, được gọi là nhóm thứ nhất. Bạn lấy mẫu không hoàn lại từ các nhóm kết hợp. Mỗi lần chọn không độc lập, vì việc lấy mẫu không hoàn lại. Bạn không xử lý các Phép thử Bernoulli.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Hypergeometric Probability,Xác suất siêu bội,,"a discrete random variable (RV) that is characterized by: A fixed number of trials. The probability of success is not the same from trial to trial. We sample from two groups of items when we are interested in only one group. X is defined as the number of successes out of the total number of items chosen. Notation: X ~ H ( r , b , n ), where r = the number of items in the group of interest, b = the number of items in the group not of interest, and n = the number of items chosen.","biến ngẫu nhiên rời rạc (RV) được đặc trưng bởi: Một số lượng phép thử cố định. Xác suất thành công không giống nhau giữa các phép thử. Chúng ta lấy mẫu từ hai nhóm vật phẩm khi chúng ta chỉ quan tâm đến một nhóm. X được định nghĩa là số lần thành công trên tổng số vật phẩm được chọn. Ký hiệu: X ~ H ( r , b , n ), trong đó r = số vật phẩm trong nhóm quan tâm, b = số vật phẩm trong nhóm không quan tâm và n = số vật phẩm được chọn.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
hypothesis test,hypothesis test,,,,9,approved,Proper name / no-emphasis — keep English,html_term_span,3,0.95
Hypothesis Testing,Kiểm định giả thuyết,,"Based on sample evidence, a procedure for determining whether the hypothesis stated is a reasonable statement and should not be rejected, or is unreasonable and should be rejected.","Dựa trên bằng chứng mẫu, một quy trình để xác định xem giả thuyết đã nêu có hợp lý và không nên bác bỏ, hay không hợp lý và nên bác bỏ.",9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Independent Events,Các biến cố độc lập,,The occurrence of one event has no effect on the probability of the occurrence of another event. Events A and B are independent if one of the following is true: P ( A | B ) = P ( A ) P ( B | A ) = P ( B ) P ( A AND B ) = P ( A ) P ( B ),Sự xảy ra của một biến cố không ảnh hưởng đến xác suất xảy ra của một biến cố khác. Các biến cố A và B là độc lập nếu một trong các điều kiện sau đúng: P ( A | B ) = P ( A ) P ( B | A ) = P ( B ) P ( A VÀ B ) = P ( A ) P ( B ),3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
Informed Consent,Sự đồng ý có hiểu biết,,"Any human subject in a research study must be cognizant of any risks or costs associated with the study. The subject has the right to know the nature of the treatments included in the study, their potential risks, and their potential benefits. Consent must be given freely by an informed, fit participant.","Bất kỳ đối tượng con người nào trong một nghiên cứu phải nhận thức được mọi rủi ro hoặc chi phí liên quan đến nghiên cứu. Đối tượng có quyền biết bản chất của các phương pháp điều trị được đưa vào nghiên cứu, các rủi ro tiềm ẩn và lợi ích tiềm ẩn của chúng. Sự đồng ý phải được đưa ra một cách tự nguyện bởi một người tham gia đã hiểu biết và đủ năng lực.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,3,0.92
